mitochondria,mitochondria;mitochondrial;mitochondrion
nucleus,nucleus;nuclei;nuclear
lysosome,lysosome;lysosomal;lysosomes
nucleolus,nucleolus;nucleolar
vesicle,vesicle;vesicles
er,endoplasmic;sarcoplasmic;reticulum
endosome,endosomal;endosomes;endosome
golgi,golgi
microbody,microbody;microbodies
plastid,plastid;chloroplast
thylakoid,thylakoid;thylakoids
extracellular,extracellular;secreted
cytosol,cytosol;cytosolic
neuronpart,neuron;neurons;neuronal;synapse
cytoplasm,cytoplasm;cytoplasmic
plasmamembrane,plasma
cytogranule,granule;granules
chromosome,chromosome;chromosomal;chromosomes
complex,protein;macromolecular
viral,virion;virus;viral
bacterial,bacterial;bacteria;bacterial-type
cytoskeleton,cytoskeleton;cytoskeletal
celljunction,junction
otherorganism,other;host;organism
aggresome,aggresome;aggresomal
