yourlist:M201512109A0638DP3L	Entry
ENSG00000000003	A0A087WYV6
ENSG00000000003	A0A087WZU5
ENSG00000000003	O43657
ENSG00000000457	Q8IZE3
ENSG00000000457	X6RHX1
ENSG00000000460	Q9NSG2
ENSG00000001036	Q7Z6V2
ENSG00000001036	Q9BTY2
ENSG00000001084	A0A0C4DGB2
ENSG00000001084	D6R959
ENSG00000001084	D6REX4
ENSG00000001084	D6RGF8
ENSG00000001084	D6RIT4
ENSG00000001084	E1CEI4
ENSG00000001084	H0Y9I7
ENSG00000001084	H0YAB6
ENSG00000001084	P48506
ENSG00000001460	H0Y4J3
ENSG00000001460	Q5TH74
ENSG00000001460	Q5TH77
ENSG00000001461	A6NN97
ENSG00000001461	H0Y4I9
ENSG00000001461	Q6P499
ENSG00000001497	Q9Y4W2
ENSG00000001497	R4GNF7
ENSG00000001629	C9JZ63
ENSG00000001629	H7C0S0
ENSG00000001629	H7C2L9
ENSG00000001629	H7C2V2
ENSG00000001629	Q9P2G1
ENSG00000001630	A0A0C4DFL7
ENSG00000001630	C9IYR8
ENSG00000001630	H7C0D0
ENSG00000001630	Q16850
ENSG00000001631	A0A0B4J2C7
ENSG00000001631	A0A0C4DG23
ENSG00000001631	C9J3W7
ENSG00000001631	C9J718
ENSG00000001631	C9JBN7
ENSG00000001631	C9JD43
ENSG00000001631	C9JD81
ENSG00000001631	C9JEW7
ENSG00000001631	C9JF32
ENSG00000001631	C9JI47
ENSG00000001631	C9JIY2
ENSG00000001631	C9JJM9
ENSG00000001631	C9JSG7
ENSG00000001631	C9JXI9
ENSG00000001631	O00522
ENSG00000002330	A8MXU7
ENSG00000002330	F5GYS3
ENSG00000002330	F5H1R6
ENSG00000002330	F5H3B1
ENSG00000002330	Q92934
ENSG00000002549	H0Y983
ENSG00000002549	H0Y9Q1
ENSG00000002549	P28838
ENSG00000002586	A0A096LP69
ENSG00000002586	A6NGF6
ENSG00000002586	A6NJT9
ENSG00000002586	A8MQT7
ENSG00000002586	H7C2F2
ENSG00000002586	P14209
ENSG00000002726	A0A087WY53
ENSG00000002726	A0A087WYD8
ENSG00000002726	C9J0G8
ENSG00000002726	C9J2J4
ENSG00000002726	P19801
ENSG00000002822	C9J9H5
ENSG00000002822	C9JIR0
ENSG00000002822	C9JJ38
ENSG00000002822	C9JKI7
ENSG00000002822	C9JP81
ENSG00000002822	C9JPS1
ENSG00000002822	C9JTA2
ENSG00000002822	C9JX80
ENSG00000002822	C9K086
ENSG00000002822	Q9Y6D9
ENSG00000002834	C9J9W2
ENSG00000002834	F6S2S5
ENSG00000002834	J3KSN1
ENSG00000002834	K7ESD6
ENSG00000002834	Q14847
ENSG00000002919	B4DJI7
ENSG00000002919	J3KTN6
ENSG00000002919	J3QKV3
ENSG00000002919	J3QLV8
ENSG00000002919	J3QRB9
ENSG00000002919	J3QRW4
ENSG00000002919	Q9Y5W9
ENSG00000002933	C9JJ63
ENSG00000002933	C9JRT9
ENSG00000002933	H7C4P5
ENSG00000002933	Q96HP8
ENSG00000003137	E5RHM2
ENSG00000003137	E5RHN4
ENSG00000003137	E7ER08
ENSG00000003137	Q9NR63
ENSG00000003249	H3BLZ2
ENSG00000003249	H3BS76
ENSG00000003249	Q9H9R9
ENSG00000003393	H0Y696
ENSG00000003393	J3KQ33
ENSG00000003393	J3KQ43
ENSG00000003393	Q96Q42
ENSG00000003402	A0A0A0MR92
ENSG00000003402	C9J408
ENSG00000003402	C9J4Q0
ENSG00000003402	C9JSU3
ENSG00000003402	C9JV51
ENSG00000003402	E9PAP3
ENSG00000003402	F8WBH9
ENSG00000003402	M0QY57
ENSG00000003402	M0QYM0
ENSG00000003402	M0R1A8
ENSG00000003402	O15519
ENSG00000003436	C9J103
ENSG00000003436	C9JBB3
ENSG00000003436	C9JKV3
ENSG00000003436	C9JP39
ENSG00000003436	C9JQ14
ENSG00000003436	C9JT76
ENSG00000003436	P10646
ENSG00000003756	C9J9P7
ENSG00000003756	C9JFQ5
ENSG00000003756	C9JR02
ENSG00000003756	F8W910
ENSG00000003756	F8WE23
ENSG00000003756	H7BYM9
ENSG00000003756	P52756
ENSG00000004139	J3KRZ6
ENSG00000004139	J3KSG7
ENSG00000004139	J3QRE0
ENSG00000004139	Q6SZW1
ENSG00000004468	H0Y950
ENSG00000004468	P28907
ENSG00000004478	F5H120
ENSG00000004478	F5H1U3
ENSG00000004478	H0YFG2
ENSG00000004478	H0YG86
ENSG00000004478	Q02790
ENSG00000004487	O60341
ENSG00000004487	R4GMP9
ENSG00000004487	R4GMQ1
ENSG00000004534	C9J250
ENSG00000004534	C9JII0
ENSG00000004534	C9JMC8
ENSG00000004534	C9JSL1
ENSG00000004534	E9PGM9
ENSG00000004534	F8WCA5
ENSG00000004534	F8WCT0
ENSG00000004534	F8WF63
ENSG00000004534	P78332
ENSG00000004660	J3KPJ3
ENSG00000004660	Q8N5S9
ENSG00000004700	F5GYB7
ENSG00000004700	F5H2L2
ENSG00000004700	F5H3W0
ENSG00000004700	F5H4P4
ENSG00000004700	F8WA66
ENSG00000004700	F8WD97
ENSG00000004700	P46063
ENSG00000004766	C9JA29
ENSG00000004766	F2Z3F0
ENSG00000004766	F8WDT1
ENSG00000004766	H0Y7Q2
ENSG00000004766	H7BZP1
ENSG00000004766	Q96JG6
ENSG00000004777	A0A0A0MQQ9
ENSG00000004777	K7EK14
ENSG00000004777	K7EMC2
ENSG00000004777	K7EQI6
ENSG00000004777	O14559
ENSG00000004838	C9JUQ8
ENSG00000004838	F2Z3M9
ENSG00000004838	O75800
ENSG00000004864	Q9UJS0
ENSG00000004864	R4GN64
ENSG00000004866	B7Z4L1
ENSG00000004866	B7Z4U3
ENSG00000004866	C9J2Z1
ENSG00000004866	C9JCI7
ENSG00000004866	C9JRQ0
ENSG00000004866	C9JRW1
ENSG00000004866	C9JU30
ENSG00000004866	C9JWK8
ENSG00000004866	C9JX79
ENSG00000004866	C9JZV9
ENSG00000004866	E7EMS3
ENSG00000004866	E7ENZ9
ENSG00000004866	E7EPD9
ENSG00000004866	E7EPW5
ENSG00000004866	E9PCV1
ENSG00000004866	E9PF01
ENSG00000004866	G3XAH9
ENSG00000004866	H7BXS2
ENSG00000004866	Q9NRC1
ENSG00000004897	E9PRZ6
ENSG00000004897	F6QPS0
ENSG00000004897	G5EA36
ENSG00000004897	I3L1K3
ENSG00000004897	I3L225
